fishid,id,light_type,reading,rep,agecap,waterbody,ann,rad
NAR031620001,R-NAR031620001,R,CJF_1,1,3,NAR,NA,0.8919806839596757
NAR031620001,R-NAR031620001,R,CJF_1,1,3,NAR,1,0.5790540336720938
NAR031620001,R-NAR031620001,R,CJF_1,1,3,NAR,2,0.7697622973763392
NAR031620001,R-NAR031620001,R,CJF_1,1,3,NAR,3,0.8919806839596757
NAR031620001,R-NAR031620001,R,CJF_2,2,3,NAR,NA,0.9188835039046113
NAR031620001,R-NAR031620001,R,CJF_2,2,3,NAR,1,0.5857848609610179
NAR031620001,R-NAR031620001,R,CJF_2,2,3,NAR,2,0.7656963935072688
NAR031620001,R-NAR031620001,R,CJF_2,2,3,NAR,3,0.9188835039046113
NAR031620001,R-NAR031620001,R,CJF_3,3,3,NAR,NA,0.8749576221338682
NAR031620001,R-NAR031620001,R,CJF_3,3,3,NAR,1,0.5790050847366314
NAR031620001,R-NAR031620001,R,CJF_3,3,3,NAR,2,0.7525453123646286
NAR031620001,R-NAR031620001,R,CJF_3,3,3,NAR,3,0.8749576221338682
NAR031620001,R-NAR031620001,R,LEL_1,1,2,NAR,NA,0.7178301879894614
NAR031620001,R-NAR031620001,R,LEL_1,1,2,NAR,1,0.45932569958944686
NAR031620001,R-NAR031620001,R,LEL_1,1,2,NAR,2,0.590613831084431
NAR031620002,R-NAR031620002,R,CJF_1,1,4,NAR,NA,0.8949222781277247
NAR031620002,R-NAR031620002,R,CJF_1,1,4,NAR,1,0.31331401130936576
NAR031620002,R-NAR031620002,R,CJF_1,1,4,NAR,2,0.6206151311614876
NAR031620002,R-NAR031620002,R,CJF_1,1,4,NAR,3,0.7373564833799391
NAR031620002,R-NAR031620002,R,CJF_1,1,4,NAR,4,0.8949222781277247
NAR031620002,R-NAR031620002,R,CJF_2,2,3,NAR,NA,0.9179444833119214
NAR031620002,R-NAR031620002,R,CJF_2,2,3,NAR,1,0.5933950468344417
NAR031620002,R-NAR031620002,R,CJF_2,2,3,NAR,2,0.7763475261676709
NAR031620002,R-NAR031620002,R,CJF_2,2,3,NAR,3,0.9179444833119214
NAR031620002,R-NAR031620002,R,LEL_1,1,1,NAR,NA,0.6863476846244095
NAR031620002,R-NAR031620002,R,LEL_1,1,1,NAR,1,0.4397164483977778
NAR031620003,R-NAR031620003,R,LEL_1,1,0,NAR,NA,0.6597210872033833
NAR031620004,R-NAR031620004,R,CJF_1,1,5,NAR,NA,1.0376158198630452
NAR031620004,R-NAR031620004,R,CJF_1,1,5,NAR,1,0.3888225433196898
NAR031620004,R-NAR031620004,R,CJF_1,1,5,NAR,2,0.6478135082318135
NAR031620004,R-NAR031620004,R,CJF_1,1,5,NAR,3,0.8362872658548981
NAR031620004,R-NAR031620004,R,CJF_1,1,5,NAR,4,0.9467454958112511
NAR031620004,R-NAR031620004,R,CJF_1,1,5,NAR,5,1.0376158198630452
NAR031620004,R-NAR031620004,R,CJF_2,2,5,NAR,NA,1.0776758029355606
NAR031620004,R-NAR031620004,R,CJF_2,2,5,NAR,1,0.4235708330494854
NAR031620004,R-NAR031620004,R,CJF_2,2,5,NAR,2,0.6923639651055834
NAR031620004,R-NAR031620004,R,CJF_2,2,5,NAR,3,0.8557337529076543
NAR031620004,R-NAR031620004,R,CJF_2,2,5,NAR,4,0.9666441182688221
NAR031620004,R-NAR031620004,R,CJF_2,2,5,NAR,5,1.0776758029355606
